Trade_Number,Entry_Date,Exit_Date,Direction,Entry_Price,Exit_Price,Entry_Z_Score,Exit_Z_Score,Duration_Days,Spread_PnL,Spread_PnL_Pct,Portfolio_PnL,Portfolio_PnL_Pct,MAE,MFE,Win
1,2015-11-30,2015-12-17,Long,2.6308753238335587,2.593490511849123,-1.783927391727445,-0.39864503569299164,17,-0.03738481198443555,-1.4210027987932388,-18664.09557761834,-3.7354526096134455,-0.14903393895408268,0.0,False
2,2016-03-16,2016-03-23,Long,2.310631975519497,2.4175166201147458,-1.7715476329456807,0.995454632887677,7,0.10688464459524871,4.625775360492791,25302.89906235272,5.26437086153638,0.0,0.10688464459524871,True
3,2016-04-08,2016-05-04,Long,2.283997764942306,2.256638114256326,-2.4679955647443133,-0.4351768190801074,26,-0.02735965068598034,-1.1978843020746759,-5850.899921967299,-1.1572408343492946,-0.11598016174865844,0.0,False
4,2016-10-04,2016-10-19,Short,2.488649089043972,2.5154471789212023,2.8082216808173452,0.44613231802797404,15,-0.026798089877230424,-1.0768127171969053,20235.572093014198,4.052079828722508,-0.17592185738690436,0.0,False
5,2016-12-14,2016-12-28,Short,2.56229279502155,2.4963909684547967,2.0383229089105463,-0.20373824876239816,14,0.06590182656675347,2.571986569793996,53739.14419926767,10.349247464662202,-0.07019337221142674,0.06590182656675347,True
6,2017-02-27,2017-03-15,Short,2.4149170843492738,2.3935151524577454,1.7178970933070348,0.39247306518089875,16,0.021401931891528392,0.8862387876681647,36704.40268395678,6.41020634698064,-0.10725744770660706,0.021401931891528392,True
7,2017-04-13,2017-05-11,Short,2.545086805154879,2.618343219536284,1.8411561669466363,0.21342957960566453,28,-0.07325641438140496,-2.8783463979707755,-32444.72794602951,-5.328696508575843,-0.1633753697345277,0.0,False
8,2017-05-25,2017-06-06,Short,2.7297100876388134,2.6954686920789923,1.600570391811795,0.16288973217811722,12,0.034241395559821086,1.2543967842914678,33143.4978042281,5.753896310612644,-0.04753462225021554,0.034241395559821086,True
9,2017-08-04,2017-08-23,Short,2.640852887085357,2.615956554924595,2.186688002272239,-0.06973621001259347,19,0.024896332160762036,0.9427383207339314,31325.606883940287,5.1460392393811905,-0.05491313448535884,0.024896332160762036,True
10,2017-11-15,2017-12-18,Short,2.709139111215198,2.7838260714269145,1.7655405549952805,0.47065501552539113,33,-0.07468696021171661,-2.7568521639413124,-36017.3925193724,-5.631177754430892,-0.1699002831899863,0.0,False
11,2018-01-30,2018-02-05,Short,2.8141492569974664,2.7495396969850754,1.6396566886797892,-0.5199316609591201,6,0.06460956001239104,2.2958824892367535,19001.635451662703,3.1503195889759716,0.0,0.06460956001239104,True
