pair_name,ticker1,ticker2,cointegrated,coint_pvalue,pct_cointegrated_rolling,half_life,sharpe,total_return,cagr,max_dd,win_rate,total_trades,profit_factor,status
CL-RB_Crack,CL=F,RB=F,True,0.0010423815567075798,13.84343210968598,18.756594107995156,0.051370908708668915,21.648857560830727,2.1570783024420948,-7.648150936457158,77.77777777777779,18,5.016368274386764,SUCCESS
CL-HO_Crack,CL=F,HO=F,True,0.015357232145084644,13.224237063246353,28.93997970898249,-0.7248445089353088,2.1728610522762537,0.23436968362624544,-4.271783725550951,66.66666666666666,9,2.3039815008415827,SUCCESS
BZ-CL_Brent_WTI,BZ=F,CL=F,True,0.002530829812598634,39.053516143299426,14.471213534619626,-0.4150418577927319,8.502369400112686,0.8926232435462422,-4.054131829022702,83.33333333333334,18,3.5387598221644927,SUCCESS
CL-NG_Energy,CL=F,NG=F,True,0.013706165074049731,2.8748341441839895,56.27614714938129,-0.36208800822183435,8.353841860775058,0.8775734898964327,-4.958350378377467,50.0,2,0.8640110513639736,SUCCESS
RB-HO_Products,RB=F,HO=F,True,0.0019966766941478804,11.179849756959788,41.1090711141731,-0.38859007643345667,3.262446635704541,0.34992445332260314,-13.186591933369746,71.42857142857143,7,1.303416201762437,SUCCESS
NG-HO_Heat,NG=F,HO=F,True,0.04676038578129323,9.765797613787008,65.76443140050331,-0.306035879688868,7.255535861806539,0.7650482987453744,-6.747449530903261,80.0,5,18.26881516035463,SUCCESS
ZC-ZS_Corn_Soy,ZC=F,ZS=F,True,0.002541520150917706,6.681415929203539,65.21497417557313,-0.6872560379079282,2.667484649015517,0.28722404177521366,-7.5301257998031765,50.0,2,0.9785154034374315,SUCCESS
ZW-ZC_Wheat_Corn,ZW=F,ZC=F,True,0.00023438372940361247,13.728963684676703,47.99311547837114,-0.3196499066365062,5.286593829465147,0.5633293409138096,-8.04481940664099,70.0,10,2.5936227380561307,SUCCESS
ZS-ZM_Soy_Meal,ZS=F,ZM=F,True,0.00999006511780363,6.5870910698496905,94.12368294232513,-1.0132649157477374,5.097328647653554,0.542659398988965,-1.6926066301397729,100.0,5,27254.494987685408,SUCCESS
ZS-ZL_Soy_Oil,ZS=F,ZL=F,True,0.0003630231232705204,3.3156498673740056,141.22015932702382,-0.6616310817327117,3.0788381698835687,0.3306374123804856,-7.211050837908789,66.66666666666666,6,3.398409862722352,SUCCESS
KC-CC_Coffee_Cocoa,KC=F,CC=F,False,0.3915735727922083,3.755656108597285,223.9198274169145,-1.6962800408416892,0.5965897112295337,0.06625876185342161,-2.411049823975854,100.0,1,3335.136739955109,SUCCESS
SB-KC_Sugar_Coffee,SB=F,KC=F,False,0.39232233882862366,13.61626878868258,110.56675646760246,-0.34004272677740316,-3.057628022149861,-0.33746295155898665,-22.512566922941584,77.77777777777779,9,0.9055350095212256,SUCCESS
CT-KC_Cotton_Coffee,CT=F,KC=F,False,0.3733909347799719,8.915770609318995,231.64161559942787,-0.19992164281429875,12.83591073270971,1.3407529251211914,-3.5229319995541553,100.0,3,65255.40229342255,SUCCESS
GC-SI_Gold_Silver,GC=F,SI=F,False,0.17152319214363027,1.5064244572441292,91.39819907028746,-3.0555272579611934,0.49476460851400894,0.05385573379381725,-1.172453152948483,100.0,1,2824.055579083564,SUCCESS
GC-PA_Gold_Palladium,GC=F,PA=F,False,1.0,4.432348367029549,576.6712584779993,-0.8886897985174208,-15.109765888284787,-3.035890261422547,-24.780205006299425,66.66666666666666,3,0.31512601362284076,SUCCESS
SI-PA_Silver_Palladium,SI=F,PA=F,False,0.7639627821645104,13.752913752913754,385.0813329954336,-0.49271121804563417,-0.06407922770194086,-0.01205385655231872,-11.404828976131778,75.0,4,1.0212499866991818,SUCCESS
HG-SI_Copper_Silver,HG=F,SI=F,False,0.14932282182589401,12.267493356953056,84.63182188864627,-0.5981074678044326,0.18592036300764114,0.0202566735184595,-7.800378578870368,60.0,5,1.1705376665426537,SUCCESS
HG-PA_Copper_Palladium,HG=F,PA=F,False,0.7744618397336779,4.040404040404041,250.30078303287007,-1.1540942872481306,1.6240052245408254,0.30341590485032377,-2.152835337120344,100.0,1,8472.526122704148,SUCCESS
